episode,rewards
0,0.0
1,0.0
2,1.0
3,1.0
4,1.0
5,1.0
6,2.0
7,2.0
8,2.0
9,2.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,2.0
17,2.0
18,2.0
19,2.0
20,1.0
21,1.0
22,5.0
23,5.0
24,2.0
25,2.0
26,0.0
27,0.0
28,1.0
29,1.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,1.0
37,1.0
38,3.0
39,3.0
40,2.0
41,2.0
42,1.0
43,1.0
44,3.0
45,3.0
46,4.0
47,4.0
48,3.0
49,3.0
50,1.0
51,1.0
52,0.0
53,0.0
54,1.0
55,1.0
56,2.0
57,2.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,4.0
73,4.0
74,1.0
75,1.0
76,2.0
77,2.0
78,2.0
79,2.0
80,3.0
81,3.0
82,1.0
83,1.0
84,0.0
85,0.0
86,0.0
87,0.0
88,2.0
89,2.0
90,1.0
91,1.0
92,2.0
93,2.0
94,2.0
95,2.0
96,1.0
97,1.0
98,1.0
99,1.0
100,2.0
101,2.0
102,3.0
103,3.0
104,3.0
105,3.0
106,2.0
107,2.0
108,2.0
109,2.0
110,4.0
111,4.0
112,3.0
113,3.0
114,4.0
115,4.0
116,2.0
117,2.0
118,3.0
119,3.0
120,1.0
121,1.0
122,1.0
123,1.0
124,2.0
125,2.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,2.0
133,2.0
134,1.0
135,1.0
136,3.0
137,3.0
138,5.0
139,5.0
140,5.0
141,5.0
142,3.0
143,3.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,3.0
151,3.0
152,2.0
153,2.0
154,2.0
155,2.0
156,3.0
157,3.0
158,5.0
159,5.0
160,1.0
161,1.0
162,9.0
163,9.0
164,1.0
165,1.0
166,0.0
167,0.0
168,4.0
169,4.0
170,2.0
171,2.0
172,3.0
173,3.0
174,2.0
175,2.0
176,4.0
177,4.0
178,3.0
179,3.0
180,3.0
181,3.0
182,2.0
183,2.0
184,3.0
185,3.0
186,1.0
187,1.0
188,8.0
189,8.0
190,3.0
191,3.0
192,3.0
193,3.0
194,7.0
195,7.0
196,2.0
197,2.0
198,3.0
199,3.0
200,4.0
201,4.0
202,3.0
203,3.0
204,4.0
205,4.0
206,3.0
207,3.0
208,2.0
209,2.0
210,5.0
211,5.0
212,4.0
213,4.0
214,4.0
215,4.0
216,3.0
217,3.0
218,4.0
219,4.0
220,3.0
221,3.0
222,3.0
223,3.0
224,4.0
225,4.0
226,4.0
227,4.0
228,2.0
229,2.0
230,10.0
231,10.0
232,5.0
233,5.0
234,2.0
235,2.0
236,1.0
237,1.0
238,3.0
239,3.0
240,1.0
241,1.0
242,5.0
243,5.0
244,1.0
245,1.0
246,2.0
247,2.0
248,7.0
249,7.0
250,1.0
251,1.0
252,3.0
253,3.0
254,4.0
255,4.0
256,7.0
257,7.0
258,2.0
259,2.0
260,3.0
261,3.0
262,7.0
263,7.0
264,2.0
265,2.0
266,3.0
267,3.0
268,2.0
269,2.0
270,2.0
271,2.0
272,2.0
273,2.0
274,3.0
275,3.0
276,7.0
277,7.0
278,2.0
279,2.0
280,5.0
281,5.0
282,1.0
283,1.0
284,4.0
285,4.0
286,2.0
287,2.0
288,2.0
289,2.0
290,3.0
291,3.0
292,3.0
293,3.0
294,2.0
295,2.0
296,3.0
297,3.0
298,2.0
299,2.0
300,11.0
301,11.0
302,7.0
303,7.0
304,2.0
305,2.0
306,2.0
307,2.0
308,2.0
309,2.0
310,7.0
311,7.0
312,3.0
313,3.0
314,2.0
315,2.0
316,3.0
317,3.0
318,3.0
319,3.0
320,2.0
321,2.0
322,7.0
323,7.0
324,2.0
325,2.0
326,2.0
327,2.0
328,2.0
329,2.0
330,3.0
331,3.0
332,11.0
333,11.0
334,3.0
335,3.0
336,7.0
337,7.0
338,3.0
339,3.0
340,4.0
341,4.0
342,4.0
343,4.0
344,2.0
345,2.0
346,3.0
347,3.0
348,7.0
349,7.0
350,7.0
351,7.0
352,2.0
353,2.0
354,7.0
355,7.0
356,2.0
357,2.0
358,11.0
359,11.0
360,2.0
361,2.0
362,7.0
363,7.0
364,3.0
365,3.0
366,7.0
367,7.0
368,3.0
369,3.0
370,7.0
371,7.0
372,3.0
373,3.0
374,3.0
375,3.0
376,3.0
377,3.0
378,7.0
379,7.0
380,1.0
381,1.0
382,3.0
383,3.0
384,3.0
385,3.0
386,7.0
387,7.0
388,2.0
389,2.0
390,2.0
391,2.0
392,7.0
393,7.0
394,3.0
395,3.0
396,11.0
397,11.0
398,5.0
399,5.0
400,7.0
401,7.0
402,3.0
403,3.0
404,7.0
405,7.0
406,3.0
407,3.0
408,3.0
409,3.0
410,3.0
411,3.0
412,11.0
413,11.0
414,11.0
415,11.0
416,7.0
417,7.0
418,2.0
419,2.0
420,3.0
421,3.0
422,8.0
423,8.0
424,8.0
425,8.0
426,3.0
427,3.0
428,2.0
429,2.0
430,11.0
431,11.0
432,7.0
433,7.0
434,11.0
435,11.0
436,3.0
437,3.0
438,11.0
439,11.0
440,11.0
441,11.0
442,7.0
443,7.0
444,3.0
445,3.0
446,7.0
447,7.0
448,3.0
449,3.0
450,7.0
451,7.0
452,3.0
453,3.0
454,3.0
455,3.0
456,7.0
457,7.0
458,3.0
459,3.0
460,2.0
461,2.0
462,7.0
463,7.0
464,3.0
465,3.0
466,8.0
467,8.0
468,7.0
469,7.0
470,2.0
471,2.0
472,3.0
473,3.0
474,11.0
475,11.0
476,3.0
477,3.0
478,7.0
479,7.0
480,2.0
481,2.0
482,11.0
483,11.0
484,7.0
485,7.0
486,2.0
487,2.0
488,7.0
489,7.0
490,7.0
491,7.0
492,3.0
493,3.0
494,7.0
495,7.0
496,11.0
497,11.0
498,3.0
499,3.0
500,7.0
501,7.0
502,11.0
503,11.0
504,7.0
505,7.0
506,11.0
507,11.0
508,4.0
509,4.0
510,7.0
511,7.0
512,1.0
513,1.0
514,3.0
515,3.0
516,3.0
517,3.0
518,3.0
519,3.0
520,4.0
521,4.0
522,3.0
523,3.0
524,2.0
525,2.0
526,2.0
527,2.0
528,3.0
529,3.0
530,7.0
531,7.0
532,4.0
533,4.0
534,3.0
535,3.0
536,5.0
537,5.0
538,11.0
539,11.0
540,7.0
541,7.0
542,7.0
543,7.0
544,3.0
545,3.0
546,3.0
547,3.0
548,3.0
549,3.0
550,11.0
551,11.0
552,7.0
553,7.0
554,4.0
555,4.0
556,3.0
557,3.0
558,3.0
559,3.0
560,2.0
561,2.0
562,7.0
563,7.0
564,3.0
565,3.0
566,7.0
567,7.0
568,7.0
569,7.0
570,7.0
571,7.0
